C3,C4,O1,O2,Cz,F3,F4,F7,F8,Fz,Fp1,Fp2,Fpz,P3,P4,Pz,T3,T4,T5,T6,ECGL,ECGR
mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV
-21.5723,-33.4515,-49.7813,-46.8137,-27.4716,-8.5013,6.4735,44.5247,26.221,12.5363,28.4749,15.7437,64.5118,-47.8377,-27.2964,-50.7592,-32.5963,22.2747,-36.4659,-31.7851,6.3182,-15.5799
-17.449,-26.4589,-42.5806,-40.2699,-23.4653,-1.4925,14.535,52.5455,34.6987,17.5412,37.5149,24.3776,-335.5069,-42.5972,-20.7424,-43.559,-24.7478,32.7586,-29.2555,-23.2675,15.4642,-6.4245
-22.4886,-29.5439,-51.7451,-48.7768,-26.4701,-4.4823,10.5043,46.5663,28.6432,13.5629,32.4856,20.3146,-210.4832,-47.8377,-25.3302,-49.4501,-31.2882,26.2062,-37.7769,-29.8195,6.3182,-16.2338
-28.4445,-38.4903,-62.2188,-58.5925,-30.4763,-11.4911,2.4427,36.5039,17.7433,8.558,21.4722,9.6492,220.5047,-56.3536,-34.5058,-58.6139,-42.4069,14.4117,-48.2648,-40.3028,-9.3605,-31.2747
-26.4592,-36.5365,-57.6366,-54.6663,-29.4748,-9.4816,5.4658,40.4414,21.3766,10.483,24.5279,11.6807,175.4847,-53.7333,-31.2288,-55.3411,-41.7529,17.6879,-45.6428,-37.6819,-6.7474,-27.351
-19.4343,-27.4872,-47.8174,-45.505,-26.4701,-2.5218,14.535,49.483,32.2765,17.5412,34.5228,22.3461,-269.4823,-46.5276,-23.364,-47.4864,-32.5963,29.4824,-36.4659,-26.5435,6.3182,-13.618
-20.5033,-26.4589,-50.4359,-47.4681,-26.4701,-2.5218,14.535,49.483,29.2487,16.5145,34.5228,21.3303,-313.4987,-47.8377,-23.364,-49.4501,-33.2503,29.4824,-39.7434,-27.8539,4.3584,-16.2338
-27.5282,-36.5365,-62.2188,-58.5925,-30.4763,-9.4816,5.4658,38.5456,18.3489,9.4564,24.5279,12.6965,126.5219,-55.6985,-31.2288,-57.3048,-44.3691,16.3774,-48.2648,-38.3372,-9.3605,-32.5826
-27.5282,-37.462,-62.2188,-56.6294,-31.4779,-10.5108,3.4504,38.5456,19.56,8.558,22.4908,9.6492,252.4776,-55.6985,-31.2288,-57.3048,-44.3691,15.7222,-49.5758,-38.3372,-11.3203,-32.5826
-20.5033,-28.5156,-48.4721,-46.8137,-26.4701,-2.5218,12.5196,50.5038,30.4598,15.4879,34.5228,19.2988,-156.5021,-46.5276,-22.7086,-48.7955,-34.5584,28.1719,-38.4324,-26.5435,3.7051,-16.2338
-18.518,-24.5051,-47.8174,-45.505,-24.4669,-0.51223,16.5504,52.5455,33.4876,17.5412,36.4963,23.3618,-358.5187,-44.5624,-19.4316,-44.2136,-30.6342,33.4139,-37.7769,-23.2675,9.5846,-11.6561
-23.5576,-32.526,-58.2912,-54.6663,-28.4732,-5.5115,8.4889,43.5039,23.7988,11.5096,26.5014,14.728,3.5053,-51.7681,-27.2964,-53.3774,-38.4827,22.2747,-45.6428,-33.7507,-3.481,-26.697
-26.4592,-38.4903,-61.5642,-57.2838,-31.4779,-9.4816,3.4504,39.5664,18.3489,8.558,21.4722,8.6335,276.493,-55.6985,-32.5396,-57.3048,-44.3691,14.4117,-49.5758,-38.3372,-10.667,-31.2747
-21.5723,-31.4977,-50.4359,-47.4681,-28.4732,-4.4823,10.5043,49.483,27.4321,14.4612,30.5121,16.2516,-28.4675,-48.4928,-24.6748,-49.4501,-34.5584,25.5509,-40.3989,-28.5091,1.7453,-17.5417
-17.449,-24.5051,-44.5444,-41.5787,-23.4653,-0.51223,17.5581,55.4621,34.6987,18.4395,36.4963,24.3776,-363.5369,-44.5624,-17.4654,-43.559,-27.3639,34.7244,-35.8104,-19.3363,11.5445,-8.3864
-21.5723,-30.4694,-53.7089,-48.7768,-27.4716,-4.4823,12.5196,47.4413,26.221,12.5363,30.5121,18.2831,-121.5184,-49.8029,-24.6748,-50.7592,-35.2125,26.2062,-43.6763,-27.8539,1.7453,-18.8496
-27.5282,-37.462,-60.255,-55.3206,-30.4763,-9.4816,4.4581,40.4414,19.56,8.558,23.5093,9.6492,259.503,-58.3188,-31.2288,-56.6502,-42.4069,17.6879,-50.2313,-35.7163,-8.7072,-27.351
-23.5576,-34.4798,-52.3997,-48.7768,-29.4748,-6.4918,8.4889,47.4413,26.221,11.5096,28.4749,14.728,91.4664,-52.4232,-26.641,-53.3774,-37.8286,23.5852,-45.6428,-29.8195,0.43871,-17.5417
-16.5328,-25.5334,-42.5806,-38.3068,-24.4669,-0.51223,16.5504,57.5038,36.5153,17.5412,38.4698,24.3776,-324.5387,-44.5624,-17.4654,-43.559,-26.7099,35.3796,-36.4659,-19.3363,14.1576,-2.5008
-19.4343,-27.4872,-47.8174,-42.2331,-24.4669,-2.5218,13.5273,52.5455,32.2765,14.4612,33.5042,21.3303,-237.5095,-46.5276,-20.7424,-46.8318,-30.6342,32.7586,-41.7099,-22.6123,9.5846,-8.3864
-25.5429,-36.5365,-57.6366,-50.74,-28.4732,-10.5108,5.4658,43.5039,22.5877,7.5314,23.5093,9.6492,202.5111,-53.7333,-28.6072,-55.3411,-41.7529,21.6194,-49.5758,-31.7851,-3.481,-21.4654
-23.5576,-35.5081,-52.3997,-46.8137,-27.4716,-9.4816,5.4658,45.5455,25.6154,8.558,23.5093,9.6492,205.522,-51.7681,-25.3302,-51.4137,-39.7908,23.5852,-46.2983,-28.5091,-0.21457,-13.618
-17.449,-25.5334,-39.3075,-34.3805,-23.4653,-2.5218,15.5427,57.5038,37.7264,14.4612,34.5228,20.3146,-239.5168,-41.2871,-14.8438,-41.5953,-27.3639,37.3454,-35.8104,-15.4051,11.5445,4.6926
-15.4637,-22.5513,-40.6168,-34.3805,-21.4622,-1.4925,16.5504,56.483,37.7264,15.4879,35.4777,22.3461,-325.4706,-41.2871,-13.533,-41.5953,-25.4018,39.3111,-34.4994,-13.4395,5.665,2.7308
-23.5576,-32.526,-51.7451,-44.8506,-26.4701,-10.5108,7.4812,45.5455,28.6432,8.558,25.4829,11.6807,102.5064,-49.8029,-21.3978,-50.7592,-36.5205,27.5167,-45.6428,-25.2331,-4.7875,-10.3482
-24.4739,-33.4515,-52.3997,-43.5418,-27.4716,-12.5204,5.4658,45.5455,27.4321,6.5048,22.4908,8.6335,265.5247,-52.4232,-23.364,-51.4137,-38.4827,26.2062,-48.2648,-24.5779,7.6248,-2.5008
-17.449,-25.5334,-43.2352,-33.7261,-23.4653,-5.5115,13.5273,54.4413,38.3319,13.5629,32.4856,18.2831,-116.5003,-45.2175,-13.533,-42.2499,-28.672,39.3111,-42.3653,-13.4395,34.4093,20.3875
-16.5328,-20.4947,-42.5806,-31.763,-20.4606,-3.502,19.5735,57.5038,43.7819,15.4879,37.5149,24.3776,-357.5151,-44.5624,-10.2559,-39.6316,-26.7099,46.5189,-42.3653,-8.853,58.5806,30.1967
-23.5576,-27.4872,-55.6727,-42.2331,-23.4653,-9.4816,11.5119,47.4413,34.6987,8.558,27.52,16.2516,-25.5283,-53.7333,-19.4316,-48.7955,-38.4827,36.6901,-55.4752,-17.3707,67.7265,20.3875
-26.4592,-33.4515,-62.2188,-47.4681,-27.4716,-13.5006,6.4735,41.4622,30.4598,5.4781,22.4908,9.6492,280.5075,-59.6289,-23.364,-53.3774,-45.6771,30.7929,-63.3411,-23.2675,77.5257,10.5782
-21.5723,-26.4589,-55.6727,-41.5787,-23.4653,-8.5013,13.5273,49.483,40.7541,10.483,29.4935,17.2673,5.5126,-54.3884,-15.4992,-46.8318,-37.8286,39.3111,-59.4082,-14.7499,112.1496,21.6954
-18.518,-18.5409,-49.7813,-36.3437,-20.4606,-4.4823,21.5889,55.4621,48.6263,15.4879,36.4963,26.4091,-353.5006,-50.458,-8.2897,-40.2862,-32.5963,49.1399,-54.8197,-6.2322,167.6784,41.3139
