C3,C4,O1,O2,Cz,F3,F4,F7,F8,Fz,Fp1,Fp2,Fpz,P3,P4,Pz,T3,T4,T5,T6,ECGL,ECGR
-167.57229999999998,-70.45150000000001,-266.7813,-262.8137,-386.4716,-115.5013,-31.5265,254.5247,49.221000000000004,53.5363,169.4749,7.7437000000000005,23.511799999999994,-20.837699999999998,-111.2964,-323.7592,-3.5962999999999994,24.2747,-124.4659,-123.7851,116.3182,-136.5799
-163.449,-63.4589,-259.5806,-256.2699,-382.4653,-108.4925,-23.465,262.5455,57.6987,58.5412,178.5149,16.3776,-376.5069,-15.5972,-104.7424,-316.55899999999997,4.252199999999998,34.7586,-117.2555,-115.2675,125.4642,-127.4245
-168.4886,-66.54390000000001,-268.7451,-264.7768,-385.4701,-111.4823,-27.4957,256.5663,51.6432,54.5629,173.4856,12.314599999999999,-251.4832,-20.837699999999998,-109.3302,-322.4501,-2.2882,28.2062,-125.7769,-121.8195,116.3182,-137.2338
-174.4445,-75.49029999999999,-279.2188,-274.5925,-389.4763,-118.4911,-35.5573,246.5039,40.743300000000005,49.558,162.4722,1.6492000000000004,179.5047,-29.3536,-118.5058,-331.6139,-13.4069,16.4117,-136.2648,-132.3028,100.6395,-152.2747
-172.4592,-73.53649999999999,-274.6366,-270.6663,-388.4748,-116.4816,-32.5342,250.4414,44.376599999999996,51.483000000000004,165.5279,3.6807,134.4847,-26.7333,-115.2288,-328.3411,-12.752899999999997,19.6879,-133.6428,-129.68189999999998,103.2526,-148.351
-165.4343,-64.4872,-264.8174,-261.505,-385.4701,-109.5218,-23.465,259.483,55.2765,58.5412,175.5228,14.3461,-310.4823,-19.5276,-107.364,-320.4864,-3.5962999999999994,31.4824,-124.4659,-118.5435,116.3182,-134.618
-166.5033,-63.4589,-267.4359,-263.4681,-385.4701,-109.5218,-23.465,259.483,52.2487,57.5145,175.5228,13.330300000000001,-354.4987,-20.837699999999998,-107.364,-322.4501,-4.250300000000003,31.4824,-127.74340000000001,-119.8539,114.3584,-137.2338
-173.5282,-73.53649999999999,-279.2188,-274.5925,-389.4763,-116.4816,-32.5342,248.5456,41.3489,50.4564,165.5279,4.6965,85.5219,-28.698500000000003,-115.2288,-330.3048,-15.369100000000003,18.3774,-136.2648,-130.3372,100.6395,-153.5826
-173.5282,-74.462,-279.2188,-272.6294,-390.4779,-117.5108,-34.5496,248.5456,42.56,49.558,163.4908,1.6492000000000004,211.4776,-28.698500000000003,-115.2288,-330.3048,-15.369100000000003,17.7222,-137.57580000000002,-130.3372,98.6797,-153.5826
-166.5033,-65.5156,-265.4721,-262.8137,-385.4701,-109.5218,-25.4804,260.5038,53.4598,56.487899999999996,175.5228,11.2988,-197.5021,-19.5276,-106.7086,-321.7955,-5.558399999999999,30.1719,-126.4324,-118.5435,113.7051,-137.2338
-164.518,-61.5051,-264.8174,-261.505,-383.4669,-107.51223,-21.4496,262.5455,56.4876,58.5412,177.4963,15.361799999999999,-399.5187,-17.562399999999997,-103.4316,-317.2136,-1.6341999999999999,35.4139,-125.7769,-115.2675,119.5846,-132.6561
-169.5576,-69.52600000000001,-275.2912,-270.6663,-387.4732,-112.5115,-29.5111,253.5039,46.7988,52.5096,167.5014,6.728,-37.4947,-24.768099999999997,-111.2964,-326.3774,-9.482700000000001,24.2747,-133.6428,-125.7507,106.519,-147.697
-172.4592,-75.49029999999999,-278.5642,-273.2838,-390.4779,-116.4816,-34.5496,249.5664,41.3489,49.558,162.4722,0.6334999999999997,235.493,-28.698500000000003,-116.53960000000001,-330.3048,-15.369100000000003,16.4117,-137.57580000000002,-130.3372,99.333,-152.2747
-167.57229999999998,-68.4977,-267.4359,-263.4681,-387.4732,-111.4823,-27.4957,259.483,50.4321,55.4612,171.5121,8.2516,-69.4675,-21.492800000000003,-108.6748,-322.4501,-5.558399999999999,27.5509,-128.3989,-120.5091,111.7453,-138.5417
-163.449,-61.5051,-261.5444,-257.5787,-382.4653,-107.51223,-20.4419,265.4621,57.6987,59.439499999999995,177.4963,16.3776,-404.5369,-17.562399999999997,-101.4654,-316.55899999999997,1.636099999999999,36.7244,-123.8104,-111.3363,121.5445,-129.3864
-167.57229999999998,-67.46940000000001,-270.70889999999997,-264.7768,-386.4716,-111.4823,-25.4804,257.4413,49.221000000000004,53.5363,171.5121,10.283100000000001,-162.51839999999999,-22.8029,-108.6748,-323.7592,-6.212499999999999,28.2062,-131.6763,-119.8539,111.7453,-139.8496
-173.5282,-74.462,-277.255,-271.3206,-389.4763,-116.4816,-33.5419,250.4414,42.56,49.558,164.5093,1.6492000000000004,218.503,-31.318800000000003,-115.2288,-329.6502,-13.4069,19.6879,-138.2313,-127.71629999999999,101.2928,-148.351
-169.5576,-71.4798,-269.3997,-264.7768,-388.4748,-113.4918,-29.5111,257.4413,49.221000000000004,52.5096,169.4749,6.728,50.46639999999999,-25.4232,-110.64099999999999,-326.3774,-8.828600000000002,25.5852,-133.6428,-121.8195,110.43871,-138.5417
-162.5328,-62.5334,-259.5806,-254.3068,-383.4669,-107.51223,-21.4496,267.5038,59.5153,58.5412,179.4698,16.3776,-365.5387,-17.562399999999997,-101.4654,-316.55899999999997,2.290099999999999,37.3796,-124.4659,-111.3363,124.1576,-123.5008
-165.4343,-64.4872,-264.8174,-258.2331,-383.4669,-109.5218,-24.4727,262.5455,55.2765,55.4612,174.5042,13.330300000000001,-278.5095,-19.5276,-104.7424,-319.8318,-1.6341999999999999,34.7586,-129.7099,-114.6123,119.5846,-129.3864
-171.5429,-73.53649999999999,-274.6366,-266.74,-387.4732,-117.5108,-32.5342,253.5039,45.5877,48.5314,164.5093,1.6492000000000004,161.5111,-26.7333,-112.6072,-328.3411,-12.752899999999997,23.6194,-137.57580000000002,-123.7851,106.519,-142.4654
-169.5576,-72.5081,-269.3997,-262.8137,-386.4716,-116.4816,-32.5342,255.5455,48.6154,49.558,164.5093,1.6492000000000004,164.522,-24.768099999999997,-109.3302,-324.4137,-10.790799999999997,25.5852,-134.29829999999998,-120.5091,109.78543,-134.618
-163.449,-62.5334,-256.3075,-250.38049999999998,-382.4653,-109.5218,-22.4573,267.5038,60.7264,55.4612,175.5228,12.314599999999999,-280.5168,-14.287100000000002,-98.8438,-314.5953,1.636099999999999,39.3454,-123.8104,-107.4051,121.5445,-116.3074
-161.4637,-59.5513,-257.6168,-250.38049999999998,-380.4622,-108.4925,-21.4496,266.483,60.7264,56.487899999999996,176.4777,14.3461,-366.4706,-14.287100000000002,-97.533,-314.5953,3.5981999999999985,41.3111,-122.49940000000001,-105.4395,115.665,-118.2692
-169.5576,-69.52600000000001,-268.7451,-260.8506,-385.4701,-117.5108,-30.5188,255.5455,51.6432,49.558,166.4829,3.6807,61.5064,-22.8029,-105.3978,-323.7592,-7.520499999999998,29.5167,-133.6428,-117.23310000000001,105.2125,-131.3482
-170.47390000000001,-70.45150000000001,-269.3997,-259.5418,-386.4716,-119.5204,-32.5342,255.5455,50.4321,47.5048,163.4908,0.6334999999999997,224.5247,-25.4232,-107.364,-324.4137,-9.482700000000001,28.2062,-136.2648,-116.5779,117.6248,-123.5008
-163.449,-62.5334,-260.2352,-249.7261,-382.4653,-112.5115,-24.4727,264.4413,61.3319,54.5629,173.4856,10.283100000000001,-157.50029999999998,-18.2175,-97.533,-315.2499,0.3279999999999994,41.3111,-130.3653,-105.4395,144.4093,-100.6125
-162.5328,-57.4947,-259.5806,-247.763,-379.4606,-110.502,-18.4265,267.5038,66.78190000000001,56.487899999999996,178.5149,16.3776,-398.5151,-17.562399999999997,-94.2559,-312.6316,2.290099999999999,48.5189,-130.3653,-100.853,168.5806,-90.80330000000001
-169.5576,-64.4872,-272.6727,-258.2331,-382.4653,-116.4816,-26.4881,257.4413,57.6987,49.558,168.52,8.2516,-66.5283,-26.7333,-103.4316,-321.7955,-9.482700000000001,38.6901,-143.4752,-109.3707,177.7265,-100.6125
-172.4592,-70.45150000000001,-279.2188,-263.4681,-386.4716,-120.5006,-31.5265,251.4622,53.4598,46.4781,163.4908,1.6492000000000004,239.5075,-32.6289,-107.364,-326.3774,-16.677100000000003,32.7929,-151.34109999999998,-115.2675,187.5257,-110.4218
-167.57229999999998,-63.4589,-272.6727,-257.5787,-382.4653,-115.5013,-24.4727,259.483,63.7541,51.483000000000004,170.4935,9.267299999999999,-35.4874,-27.388399999999997,-99.4992,-319.8318,-8.828600000000002,41.3111,-147.4082,-106.7499,222.14960000000002,-99.3046
-164.518,-55.5409,-266.7813,-252.3437,-379.4606,-111.4823,-16.4111,265.4621,71.6263,56.487899999999996,177.4963,18.4091,-394.5006,-23.458,-92.2897,-313.2862,-3.5962999999999994,51.1399,-142.8197,-98.2322,277.6784,-79.68610000000001
