source,start_time,stop_time,snr_median,snr_mean,n_beats,rmssd,sdnn,hr_median,hr_mean,hr_upper_5,hr_lower_5,hrf_pip,hrf_ials,hrf_pnn_ss,hrf_pnn_as,mean_pr_interval,std_pr_interval,median_pr_interval,mean_qt_interval,std_qt_interval,median_qt_interval,qtc_b,qtc_f,mean_st_segment,std_st_segment,median_st_segment,mean_pr_segment,std_pr_segment,median_pr_segment,mean_pr_peaks_interval,std_pr_peaks_interval,median_pr_peaks_interval,mean_qr_peaks_interval,std_qr_peaks_interval,median_qr_peaks_interval,mean_qrs_complex_interval,std_qrs_complex_interval,median_qrs_complex_interval,mean_rs_peaks_interval,std_rs_peaks_interval,median_rs_peaks_interval,mean_rt_peaks_interval,std_rt_peaks_interval,median_rt_peaks_interval,mean_qrs_amp,std_qrs_amp,median_qrs_amp,mean_qrs_area,std_qrs_area,median_qrs_area,mean_qrs_abs_area,std_qrs_abs_area,median_qrs_abs_area,mean_t_amp,std_t_amp,median_t_amp,ratio_t_r_amp,mean_t_area,std_t_area,median_t_area,mean_t_abs_area,std_t_abs_area,median_t_abs_area,mean_p_amp,std_p_amp,median_p_amp,ratio_p_r_amp,mean_p_area,std_p_area,median_p_area,mean_p_abs_area,std_p_abs_area,median_p_abs_area,mean_st_amp,std_st_amp,median_st_amp,mean_pr_angles,std_pr_angles,median_pr_angles,mean_qr_angles,std_qr_angles,median_qr_angles,mean_rs_angles,std_rs_angles,median_rs_angles,mean_rt_angles,std_rt_angles,median_rt_angles,activity,mobility,complexity,svd1,svd2,svd3,svd4,svd5,norm_morphology_sample_1,norm_morphology_sample_2,norm_morphology_sample_3,norm_morphology_sample_4,norm_morphology_sample_5,norm_morphology_sample_6,norm_morphology_sample_7,norm_morphology_sample_8,norm_morphology_sample_9,norm_morphology_sample_10,norm_morphology_sample_11,norm_morphology_sample_12,norm_morphology_sample_13,norm_morphology_sample_14,norm_morphology_sample_15,norm_morphology_sample_16,norm_morphology_sample_17,norm_morphology_sample_18,norm_morphology_sample_19,norm_morphology_sample_20,norm_morphology_sample_21,norm_morphology_sample_22,norm_morphology_sample_23,norm_morphology_sample_24,norm_morphology_sample_25
Indicate source channel or modality for each row,Starting index of this window,Stoping index of this window,Median beat SNR,Mean beat SNR,Number of ECG beat,Root Mean Square of Successive Differences for HRV,Standard Deviation of Normal-to-Normal Intervals,Median heart-rate,Mean heart-rate,95% heart-rate,5% heart-rate,Heart rate fragmentation: Percentage of inflection points,Heart rate fragmentation: Inverse average length of the acceleration/deceleration segments,Heart rate fragmentation: Percentage of short segments,Heart rate fragmentation: The percentage of NN intervals in alternation segments,Mean PR-interval,Standard deviation PR-interval,Median PR-interval,Mean QT-interval,Standard deviation QT-interval,Median QT-interval,QTc (Bazett),QTc (Fridericia),Mean ST-segment (QRSoff-Ton),Standard deviation ST-segment (QRSoff-Ton),Median ST-segment (QRSoff-Ton),Mean PR-segment (Poff-QRSon),Standard deviation PR-segment (Poff-QRSon),Median PR-segment (Poff-QRSon),Mean P to R peaks interval,Standard deviation P to R peaks interval,Median P to R peaks interval,Mean QRSon to R peak interval,Standard deviation QRSon to R peak interval,Median QRSon to R peak interval,Mean  QRS-complex interval,Standard deviation QRS-complex interval,Median  QRS-complex interval,Mean R peak to QRSoff interval,Standard deviation R peak to QRSoff interval,Median R peak to QRSoff interval,Mean R peak to T peak interval,Standard deviation R peak to T peak interval,Median R peak to T peak interval,Mean R-peak amplitude,Standard deviation R-peak amplitude,Median R-peak amplitude,Mean QRS area,Standard deviation QRS area,Median QRS area,Mean area of absolute QRS,Standard deviation area of absolute QRS,Median area of absolute QRS,Mean T-peak amplitude,Standard deviation T-peak amplitude,Median T-peak amplitude,T peak to R peak ratio,Mean T wave area,Standard deviation T wave area,Median T wave area,Mean area of absolute T wave,Standard deviation area of absolute T wave,Median area of absolute T wave,Mean P-peak amplitude,Standard deviation P-peak amplitude,Median P-peak amplitude,P peak to R peak ratio,Mean P wave area,Standard deviation P wave area,Median P wave area,Mean area of absolute P wave,Standard deviation area of absolute P wave,Median area of absolute P wave,Mean ST-segment amplitude,Standard deviation ST-segment amplitude,Median ST-segment amplitude,Mean P and R peaks angle,Standard deviation P and R peaks angle,Median P and R peaks angle,Mean QRSon and R peak angle,Standard deviation QRSon and R peak angle,Median QRSon and R peak angle,Mean R peak and QRSoff angle,Standard deviation R peak and QRSoff peak angle,Median R peak and QRSoff angle,Mean R and T peaks angle,Standard deviation R and T peaks angle,Median R and T peaks angle,Hjorth parameters: Activity,Hjorth parameters: Mobility,Hjorth parameters: Complexity,Normalized SVD value 1,Normalized SVD value 2,Normalized SVD value 3,Normalized SVD value 4,Normalized SVD value 5,Normalized average beat sample 1,Normalized average beat sample 2,Normalized average beat sample 3,Normalized average beat sample 4,Normalized average beat sample 5,Normalized average beat sample 6,Normalized average beat sample 7,Normalized average beat sample 8,Normalized average beat sample 9,Normalized average beat sample 10,Normalized average beat sample 11,Normalized average beat sample 12,Normalized average beat sample 13,Normalized average beat sample 14,Normalized average beat sample 15,Normalized average beat sample 16,Normalized average beat sample 17,Normalized average beat sample 18,Normalized average beat sample 19,Normalized average beat sample 20,Normalized average beat sample 21,Normalized average beat sample 22,Normalized average beat sample 23,Normalized average beat sample 24,Normalized average beat sample 25
na,s,s,dB,dB,scaler,ms,ms,bpm,bpm,bpm,bpm,scaler,scaler,scaler,scaler,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,mv,mv,mv,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv,mv,mv,scaler,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv,mv,mv,scaler,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv,mv,mv,degree,degree,degree,degree,degree,degree,degree,degree,degree,degree,degree,degree,mv*ms,Hz,Hz,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler
1,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
I,1,4500,11.365115,11.358312,10,22.836374,17.606817,63.829787,63.849658,65.645514,62.240664,0.444444,0.428571,0.333333,0.222222,136,16.673332,142,384.2,12.769756,384,396.272043,392.20646,129.2,15.178933,123,48.2,17.267825,44,117.4,8.694826,114,36.8,10.206752,32,98,14.204851,106,61.2,12.081207,53,278.8,4.341019,279,0.577179,0.029513,0.590315,9.876894,1.712551,9.830224,14.235747,0.668671,14.045357,0.159585,0.033686,0.16073,0.272279,8.354977,1.916521,8.461988,9.883701,1.397352,9.659568,0.101868,0.032526,0.093366,0.158163,2.704921,1.401875,2.480001,3.839431,0.727425,3.852189,-0.041132,0.011552,-0.041033,0.220275,0.013148,0.219584,0.951959,0.20887,0.996542,0.559915,0.122187,0.619335,0.080649,0.007334,0.08027,0.00612,67.714338,2.017902,56.297664,8.325133,5.950964,5.899081,4.944197,-0.058709,-0.100434,-0.080232,-0.049037,-0.0372,-0.053604,-0.058069,-0.034979,-0.040756,0.047342,0.021546,-0.084489,0.917906,-0.085629,-0.081285,-0.070447,-0.0332,0.079167,0.234859,0.018352,-0.071869,-0.098327,-0.119872,-0.040965,-0.045464
II,1,4500,11.995163,11.933372,12,322.948293,258.869009,64.655172,79.436043,216.801127,62.247134,0.363636,0.4,0.272727,0.272727,160.222222,14.779866,158,390,8.537499,393,435.983715,420.082943,136.8,12.899612,141,44,8.43274,42,126,10.370899,128,34.6,2.503331,34,88.4,14.721111,88,53.8,15.901083,54,281.8,2.898275,283,0.39517,0.031241,0.388206,5.790713,1.246632,6.096783,10.152123,1.052593,9.912673,0.205706,0.03845,0.211859,0.545738,11.716608,1.408262,11.457952,13.497417,1.651626,13.221846,0.113346,0.022068,0.116719,0.300663,2.687461,0.727055,2.971959,4.746674,0.649214,4.61763,-0.046121,0.013681,-0.042769,0.119934,0.008994,0.116387,0.677115,0.073754,0.684834,0.441866,0.130656,0.405599,0.032724,0.004921,0.032697,0.004112,55.32823,2.294834,41.056648,15.419973,12.03637,8.468408,4.522466,-0.066648,-0.080906,-0.083849,-0.042934,-0.044195,-0.076676,-0.057983,-0.080957,-0.058558,0.140004,-0.012103,-0.138943,0.803569,-0.1116,-0.116372,-0.11185,-0.068689,0.121114,0.412444,0.12929,-0.076708,-0.08883,-0.104705,-0.040657,-0.055447
III,1,4500,5.699886,4.993356,13,311.288816,255.901259,79.121812,93.737231,183.901515,62.359092,0.583333,0.7,0.833333,0.416667,188,62.833112,182,390,37.788887,392,464.483241,438.195824,69.25,13.090345,70,67,15.56553,73,148.75,5.849298,146,51.5,5.424811,50,99.5,17.295747,96,48,20.674346,47,227.25,68.917653,269,-0.20735,0.020487,-0.206012,-4.53183,1.489418,-4.792704,5.649086,0.586591,5.559116,0.024417,0.027759,0.020906,-0.101481,2.251563,1.307539,2.840514,4.144593,1.203852,4.086396,0.043841,0.020939,0.03744,-0.181735,0.454079,0.556934,0.509971,1.778728,0.876505,1.869847,-0.002218,0.010116,-0.000128,-0.096367,0.005429,-0.097576,-0.229401,0.03537,-0.232141,-0.301278,0.139415,-0.276103,-0.068988,0.022103,-0.058476,0.000796,87.890761,2.288458,31.124689,11.245342,9.677122,9.52491,5.57162,0.069767,0.018899,-0.006276,-0.011687,-0.073457,-0.03778,-0.044038,-0.011653,0.129024,0.014368,-0.069318,-0.027885,-0.94259,0.007558,-0.019228,-0.011928,-0.012881,-0.034583,0.098927,0.171537,0.090485,0.023908,0.043939,0.086005,0.124738
aVR,1,4500,12.784013,12.755883,10,22.237356,17,63.694268,63.848358,65.645514,62.370062,0.333333,0.375,0.444444,0.333333,160.444444,9.475114,162,386,12.472191,389,398.128601,394.043971,152.2,13.113183,153,40.6,5.966574,38,121.4,8.540101,122,35,5.906682,32,77.4,12.294534,79,42.4,14.261058,41,280.8,3.794733,281,-0.487092,0.021888,-0.481043,-8.480701,1.026131,-8.402639,11.463254,0.661704,11.512097,-0.18008,0.031231,-0.185585,0.385796,-10.132854,1.098476,-10.084222,11.411843,1.004583,11.657211,-0.109448,0.026378,-0.114291,0.237591,-2.1491,0.864323,-2.584906,4.662437,0.690255,4.51803,0.043781,0.011313,0.042207,-0.169934,0.00995,-0.170769,-0.822269,0.128056,-0.837368,-0.705293,0.179775,-0.709757,-0.056364,0.005306,-0.056106,0.005003,61.668675,2.051538,57.199578,10.028595,6.280641,5.138437,4.077514,0.061104,0.090085,0.078115,0.048917,0.045547,0.064649,0.066388,0.053765,0.048795,-0.088374,-0.021309,0.110529,-0.874638,0.097927,0.098509,0.085847,0.047294,-0.109046,-0.31989,-0.04848,0.074111,0.098102,0.113438,0.038747,0.057384
aVL,1,4500,9.860364,9.772383,10,22.113344,17.275545,63.829787,63.8338,65.502183,62.240664,0.333333,0.375,0.444444,0.333333,205.333333,37.363083,222,369,18.932629,370,380.54946,376.660023,94.2,42.399686,80,43.2,15.411395,49,128.2,23.57871,124,35,5.18545,34,91,15.527753,96,56,16.465452,62,271,8.013877,270,0.381153,0.03001,0.384047,7.224014,1.506864,7.706693,9.141099,0.594355,9.289171,0.071995,0.021902,0.075653,0.196989,1.881591,2.296049,2.236648,4.349828,1.328569,4.079273,0.030759,0.045919,0.039116,0.101851,0.747205,1.389007,0.878399,3.137361,0.629007,3.228868,-0.019086,0.006109,-0.020114,0.152449,0.02274,0.153942,0.63106,0.088452,0.609589,0.435343,0.167326,0.376958,0.065027,0.006217,0.064776,0.002431,75.650727,2.055223,52.37201,7.646001,6.670055,5.99905,5.323446,-0.054066,-0.103776,-0.081898,-0.043318,-0.023755,-0.028358,-0.044744,-0.009451,-0.028108,-0.003327,0.035995,-0.048183,0.956025,-0.058707,-0.061937,-0.056888,-0.018977,0.031228,0.116045,-0.015364,-0.070706,-0.089422,-0.122006,-0.038393,-0.030803
aVF,1,4500,3.567046,1.92308,16,455.668739,276.473162,94.043887,127.782265,220.623501,62.274228,0.666667,0.714286,0.933333,0.4,173.555556,13.333333,168,389.4,8.540101,390,508.047516,464.944953,141.8,22.734213,152,44.8,8.390471,46,136,7.542472,134,33.8,6.356099,32,77.6,9.605554,76,43.8,9.496198,44,286.4,7.705698,286,0.126366,0.022134,0.117863,1.048173,0.742972,1.015384,3.235844,0.951316,2.740093,0.120239,0.022132,0.121487,1.030751,7.370307,1.620606,7.244247,8.762817,1.749907,8.61799,0.067612,0.0202,0.072425,0.614486,1.287643,1.297485,1.050831,3.318988,1.098361,3.090037,-0.024039,0.008843,-0.021654,0.021052,0.00759,0.019466,0.22815,0.035797,0.225449,0.162401,0.044348,0.143966,-0.003212,0.003787,-0.004319,0.000867,45.841158,3.664453,29.32675,21.123906,9.063325,6.714061,4.654794,-0.047698,-0.09477,-0.153857,-0.006002,-0.110279,-0.150749,-0.111201,0.012866,0.181697,0.055697,-0.160292,-0.045572,0.61821,-0.032016,-0.124762,-0.119231,-0.118114,-0.111739,-0.09426,-0.00841,0.278218,0.508154,0.260668,0.003417,-0.042
V1,1,4500,19.286173,19.327142,10,23.832751,18.027756,63.694268,63.850663,65.789474,62.240664,0.333333,0.375,0.444444,0.333333,178.4,46.49301,180,349.8,24.229459,340,360.791152,357.089588,110.8,37.40707,121,38.4,19.178692,35,125.8,34.402196,130,39.8,10.809461,34,79.4,9.890512,75,39.6,2.796824,40,224.8,4.341019,224,-0.641678,0.026674,-0.652997,-19.009443,0.604935,-18.984975,20.86213,0.96912,20.692141,0.058528,0.018193,0.058516,-0.089612,10.109751,2.869656,9.926816,10.109751,2.869656,9.926816,-0.00702,0.019519,-0.011355,0.01739,0.610445,0.917965,0.566252,1.789725,0.662869,1.820274,0.030944,0.005938,0.031401,-0.296665,0.073823,-0.270922,-1.043845,0.265793,-1.16129,-0.874976,0.068137,-0.878446,-0.181523,0.008337,-0.182288,0.008881,56.144418,1.742053,77.59729,4.582358,3.458258,3.052936,2.427594,0.006995,0.018518,0.025438,0.022286,0.018392,0.005593,0.007435,0.010671,0.017612,0.004035,-0.011042,0.037475,-0.975714,0.010701,0.059805,0.074071,0.095597,0.134509,0.072848,0.021168,0.009073,0.010059,0.028951,0.021984,0.019648
