source,start_time,stop_time,snr_median,snr_mean,n_beats,rmssd,sdnn,hr_median,hr_mean,hr_upper_5,hr_lower_5,hrf_pip,hrf_ials,hrf_pnn_ss,hrf_pnn_as,mean_pr_interval,std_pr_interval,median_pr_interval,mean_qt_interval,std_qt_interval,median_qt_interval,qtc_b,qtc_f,mean_st_segment,std_st_segment,median_st_segment,mean_pr_segment,std_pr_segment,median_pr_segment,mean_pr_peaks_interval,std_pr_peaks_interval,median_pr_peaks_interval,mean_qr_peaks_interval,std_qr_peaks_interval,median_qr_peaks_interval,mean_qrs_complex_interval,std_qrs_complex_interval,median_qrs_complex_interval,mean_rs_peaks_interval,std_rs_peaks_interval,median_rs_peaks_interval,mean_rt_peaks_interval,std_rt_peaks_interval,median_rt_peaks_interval,mean_qrs_amp,std_qrs_amp,median_qrs_amp,mean_qrs_area,std_qrs_area,median_qrs_area,mean_qrs_abs_area,std_qrs_abs_area,median_qrs_abs_area,mean_t_amp,std_t_amp,median_t_amp,ratio_t_r_amp,mean_t_area,std_t_area,median_t_area,mean_t_abs_area,std_t_abs_area,median_t_abs_area,mean_p_amp,std_p_amp,median_p_amp,ratio_p_r_amp,mean_p_area,std_p_area,median_p_area,mean_p_abs_area,std_p_abs_area,median_p_abs_area,mean_st_amp,std_st_amp,median_st_amp,mean_pr_angles,std_pr_angles,median_pr_angles,mean_qr_angles,std_qr_angles,median_qr_angles,mean_rs_angles,std_rs_angles,median_rs_angles,mean_rt_angles,std_rt_angles,median_rt_angles,activity,mobility,complexity,svd1,svd2,svd3,svd4,svd5,norm_morphology_sample_1,norm_morphology_sample_2,norm_morphology_sample_3,norm_morphology_sample_4,norm_morphology_sample_5,norm_morphology_sample_6,norm_morphology_sample_7,norm_morphology_sample_8,norm_morphology_sample_9,norm_morphology_sample_10,norm_morphology_sample_11,norm_morphology_sample_12,norm_morphology_sample_13,norm_morphology_sample_14,norm_morphology_sample_15,norm_morphology_sample_16,norm_morphology_sample_17,norm_morphology_sample_18,norm_morphology_sample_19,norm_morphology_sample_20,norm_morphology_sample_21,norm_morphology_sample_22,norm_morphology_sample_23,norm_morphology_sample_24,norm_morphology_sample_25
Indicate source channel or modality for each row,Starting index of this window,Stoping index of this window,Median beat SNR,Mean beat SNR,Number of ECG beat,Root Mean Square of Successive Differences for HRV,Standard Deviation of Normal-to-Normal Intervals,Median heart-rate,Mean heart-rate,95% heart-rate,5% heart-rate,Heart rate fragmentation: Percentage of inflection points,Heart rate fragmentation: Inverse average length of the acceleration/deceleration segments,Heart rate fragmentation: Percentage of short segments,Heart rate fragmentation: The percentage of NN intervals in alternation segments,Mean PR-interval,Standard deviation PR-interval,Median PR-interval,Mean QT-interval,Standard deviation QT-interval,Median QT-interval,QTc (Bazett),QTc (Fridericia),Mean ST-segment (QRSoff-Ton),Standard deviation ST-segment (QRSoff-Ton),Median ST-segment (QRSoff-Ton),Mean PR-segment (Poff-QRSon),Standard deviation PR-segment (Poff-QRSon),Median PR-segment (Poff-QRSon),Mean P to R peaks interval,Standard deviation P to R peaks interval,Median P to R peaks interval,Mean QRSon to R peak interval,Standard deviation QRSon to R peak interval,Median QRSon to R peak interval,Mean  QRS-complex interval,Standard deviation QRS-complex interval,Median  QRS-complex interval,Mean R peak to QRSoff interval,Standard deviation R peak to QRSoff interval,Median R peak to QRSoff interval,Mean R peak to T peak interval,Standard deviation R peak to T peak interval,Median R peak to T peak interval,Mean R-peak amplitude,Standard deviation R-peak amplitude,Median R-peak amplitude,Mean QRS area,Standard deviation QRS area,Median QRS area,Mean area of absolute QRS,Standard deviation area of absolute QRS,Median area of absolute QRS,Mean T-peak amplitude,Standard deviation T-peak amplitude,Median T-peak amplitude,T peak to R peak ratio,Mean T wave area,Standard deviation T wave area,Median T wave area,Mean area of absolute T wave,Standard deviation area of absolute T wave,Median area of absolute T wave,Mean P-peak amplitude,Standard deviation P-peak amplitude,Median P-peak amplitude,P peak to R peak ratio,Mean P wave area,Standard deviation P wave area,Median P wave area,Mean area of absolute P wave,Standard deviation area of absolute P wave,Median area of absolute P wave,Mean ST-segment amplitude,Standard deviation ST-segment amplitude,Median ST-segment amplitude,Mean P and R peaks angle,Standard deviation P and R peaks angle,Median P and R peaks angle,Mean QRSon and R peak angle,Standard deviation QRSon and R peak angle,Median QRSon and R peak angle,Mean R peak and QRSoff angle,Standard deviation R peak and QRSoff peak angle,Median R peak and QRSoff angle,Mean R and T peaks angle,Standard deviation R and T peaks angle,Median R and T peaks angle,Hjorth parameters: Activity,Hjorth parameters: Mobility,Hjorth parameters: Complexity,Normalized SVD value 1,Normalized SVD value 2,Normalized SVD value 3,Normalized SVD value 4,Normalized SVD value 5,Normalized average beat sample 1,Normalized average beat sample 2,Normalized average beat sample 3,Normalized average beat sample 4,Normalized average beat sample 5,Normalized average beat sample 6,Normalized average beat sample 7,Normalized average beat sample 8,Normalized average beat sample 9,Normalized average beat sample 10,Normalized average beat sample 11,Normalized average beat sample 12,Normalized average beat sample 13,Normalized average beat sample 14,Normalized average beat sample 15,Normalized average beat sample 16,Normalized average beat sample 17,Normalized average beat sample 18,Normalized average beat sample 19,Normalized average beat sample 20,Normalized average beat sample 21,Normalized average beat sample 22,Normalized average beat sample 23,Normalized average beat sample 24,Normalized average beat sample 25
na,s,s,dB,dB,scaler,ms,ms,bpm,bpm,bpm,bpm,scaler,scaler,scaler,scaler,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,mv,mv,mv,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv,mv,mv,scaler,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv,mv,mv,scaler,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv*ms,mv,mv,mv,degree,degree,degree,degree,degree,degree,degree,degree,degree,degree,degree,degree,mv*ms,Hz,Hz,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler,scaler
1,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i,1,10000,16.307017,16.271733,18,19.353617,16.007351,103.448276,102.670407,110.975626,100.671141,0.647059,0.75,0.705882,0.235294,91.470588,5.745842,88,360.1875,9.853722,359.5,472.494334,431.625687,54.944444,5.150354,56,44.529412,6.801816,45,119.176471,2.60373,118,54.352941,1.411612,54,116.235294,1.521899,116,62.555556,3.05291,62,230.882353,5.9779,230,-0.099666,0.00818,-0.099403,8.692362,6.586094,5.86322,13.068408,4.75819,11.133081,0.077,0.020249,0.08051,-0.809939,9.414947,15.473196,2.292177,12.942232,13.769631,7.174752,-0.018989,0.005051,-0.018274,0.183834,0.007666,2.605967,-1.147082,1.867819,1.764277,1.346992,-0.026449,0.09428,-0.065856,-0.052847,0.004946,-0.054452,-0.128603,0.01009,-0.131504,-0.079659,0.034849,-0.07232,-0.049315,0.008044,-0.049382,0.003476,179.984004,7.021513,41.938603,29.042665,16.501802,2.717681,2.518307,0.187547,0.131803,0.095334,0.061043,0.038281,0.005669,0.004145,-0.007715,-0.074085,-0.059333,-0.04219,0.651957,-0.425319,0.356452,-0.149929,-0.203633,-0.194766,-0.125712,0.022483,0.127672,0.170708,0.124843,0.083451,0.047991,0.028154
ii,1,10000,16.375542,16.692146,18,29.783594,25.956978,103.448276,102.672215,117.717173,100.671141,0.647059,0.75,0.705882,0.235294,120,7.874008,119,353.6875,8.039227,353.5,465.004322,424.467617,57.764706,5.190489,57,38.411765,4.89973,38,116.117647,6.313501,114,37.235294,3.419236,35,125.705882,2.845275,125,87.777778,3.638933,88.5,245.941176,5.792998,247,0.400921,0.018411,0.398643,-1.178689,7.261778,-3.713854,15.386882,1.763728,14.847217,0.087362,0.033392,0.095282,0.239016,10.828415,14.132904,4.630676,12.694522,13.223998,7.030672,0.040801,0.005482,0.041965,0.105269,5.022797,4.536396,3.131379,5.037588,4.524886,3.131379,-0.00184,0.095694,-0.042779,0.156948,0.010184,0.156152,0.593452,0.062216,0.59612,0.256041,0.068848,0.272416,0.065575,0.01756,0.069889,0.005069,154.855724,7.735838,42.05878,30.140796,13.844471,3.52424,2.422807,0.178041,0.134037,0.07141,0.050521,0.0548,0.054139,0.043736,0.069495,0.109214,0.083585,-0.003637,-0.022724,0.772539,-0.384597,-0.297634,-0.086245,-0.088278,-0.069917,-0.043841,0.067216,0.159948,0.130158,0.06549,0.041315,0.046542
iii,1,10000,18.517367,18.553437,17,8.713973,7.958224,103.004368,102.509037,104.859514,100.671141,0.5,0.533333,0.9375,0.6875,148.235294,11.16652,147,314.3125,8.514449,313.5,411.120748,375.924082,77.176471,7.601277,79,45.470588,5.724046,47,146.882353,2.642971,147,44.117647,5.182692,41,78.941176,4.322479,81,34.823529,4.572134,35,193.375,4.112988,194.5,-0.478309,0.012287,-0.475855,-8.716081,1.106852,-8.888187,12.787004,0.528215,12.74156,-0.117358,0.011242,-0.1183,0.248605,-5.517778,1.621923,-5.560368,6.831937,0.945234,6.939168,0.07563,0.006523,0.073316,-0.154073,9.533043,2.590674,8.853967,9.533043,2.590674,8.853967,0.037312,0.010516,0.033377,-0.234517,0.006002,-0.234936,-0.646335,0.053497,-0.660364,-0.773531,0.096541,-0.780923,-0.11206,0.004731,-0.11384,0.007834,114.584569,9.006286,66.755693,8.103764,4.848303,3.409892,2.908475,-0.073347,0.001838,0.035584,0.039878,0.049725,0.077755,0.126234,0.222834,0.178913,0.08621,0.08804,0.100906,-0.884755,-0.057301,0.101326,0.091721,0.04885,-0.025736,-0.15,-0.152824,-0.049394,0.000486,0.016394,0.028499,0.05565
v1,1,10000,15.919957,15.212671,17,8.51665,7.571878,102.739726,102.519507,104.676573,100.671141,0.625,0.666667,0.75,0.375,98.941176,5.213811,100,355,9.244818,354.5,464.339998,424.587152,58.5,6.033241,57.5,20.882353,2.446486,21,115.058824,11.24428,119,56.235294,1.601929,57,116.058824,2.435944,116,59.823529,3.107155,61,228.125,4.209117,228,-0.101374,0.010708,-0.103787,7.430452,3.876973,5.870266,12.022472,2.164188,11.39269,0.080954,0.005189,0.080921,-0.779684,4.357345,5.071523,2.099833,8.089347,3.379101,6.817289,-0.022187,0.009222,-0.024115,0.232353,-0.639686,2.717862,-1.68884,2.201034,1.656305,1.809545,-0.054684,0.031692,-0.068639,-0.055706,0.011925,-0.052174,-0.123602,0.011762,-0.123136,-0.078416,0.013158,-0.077666,-0.049086,0.004584,-0.048902,0.003544,177.792202,7.086983,52.830602,24.223537,5.782543,3.764035,3.003116,0.181636,0.137216,0.075965,0.057898,0.035441,0.010019,-0.008673,-0.015556,-0.0914,-0.059604,-0.041545,0.697768,-0.40091,0.332262,-0.148424,-0.192558,-0.186087,-0.099009,0.005931,0.137549,0.156177,0.119309,0.055966,0.024961,0.029482
v2,1,10000,17.325676,17.206798,17,9.521905,8.115828,102.739726,102.522053,104.676573,100.671141,0.5,0.533333,0.9375,0.6875,117.823529,18.842224,120,378,42.868792,355,494.423998,452.095615,55.764706,6.722438,57,33.235294,5.706678,33,113.294118,13.678289,114,39.117647,4.702158,41,127.176471,4.447405,127,88.058824,2.609372,87,245.375,2.704934,244,0.401383,0.016836,0.40449,-3.888373,2.247093,-4.197126,15.098326,1.054785,15.18006,0.095413,0.008194,0.095558,0.236244,5.190839,2.926044,4.271007,7.644247,1.99872,6.992699,0.039307,0.017478,0.043608,0.10781,3.141813,1.609376,2.781062,3.187676,1.575447,2.853641,-0.041466,0.016089,-0.045234,0.168603,0.038677,0.160805,0.572118,0.081688,0.565753,0.272461,0.016578,0.275028,0.069382,0.004292,0.069194,0.004989,156.878602,7.658383,62.462597,11.931541,6.719618,4.212393,2.99,0.116309,0.142607,0.090717,0.025128,0.036514,0.04591,0.046385,0.060747,0.104241,0.073464,-0.01256,-0.038468,0.794021,-0.376262,-0.297475,-0.093476,-0.080338,-0.085347,-0.032012,0.070972,0.122841,0.133368,0.082166,0.031054,0.020653
v3,1,10000,17.95405,18.038621,17,8.477421,7.674362,103.004975,102.518277,105.063708,100.671141,0.5625,0.666667,0.75,0.375,140,12.057156,137,319,11.081516,318,417.318939,381.571232,78.529412,8.247103,81,45.470588,5.398121,43,145.470588,4.836291,146,49.117647,4.539856,51,82.588235,6.33501,83,33.470588,4.543094,32,193.625,5.136471,194,-0.481482,0.013713,-0.478807,-9.133187,0.577538,-9.049002,12.919118,0.456862,13.036483,-0.115014,0.011212,-0.114654,0.239458,-6.385371,1.095299,-6.261488,7.287654,0.854615,7.198242,0.070579,0.009835,0.068755,-0.143597,8.212756,0.622432,8.23766,8.212756,0.622432,8.23766,0.030035,0.009451,0.029361,-0.235613,0.0091,-0.234494,-0.597116,0.04215,-0.582857,-0.788447,0.094013,-0.782661,-0.112435,0.004701,-0.11227,0.007816,119.82613,9.02889,71.117273,5.783166,5.143646,2.924576,2.833452,-0.089698,0.004834,0.021468,0.02069,0.035946,0.073917,0.110012,0.215435,0.175541,0.081668,0.076705,0.08987,-0.895799,-0.059099,0.09521,0.077592,0.038366,-0.02878,-0.155855,-0.136116,-0.06774,-0.016724,0.009048,0.029804,0.048336
v4,1,10000,17.346657,17.202565,17,8.70249,7.848567,103.094001,102.52074,104.676573,100.671141,0.625,0.727273,0.6875,0.4375,107.411765,29.557272,100,356.4375,9.143076,353.5,466.220248,426.306431,55.470588,5.724046,55,33.941176,18.06056,21,126.235294,37.464199,119,55.352941,1.366619,56,116.823529,1.629237,116,61.470588,1.972234,61,229.9375,5.685874,230,-0.100334,0.008113,-0.100775,4.69597,1.731351,5.118638,11.157322,0.30981,11.160506,0.081702,0.005704,0.083109,-0.824705,0.689028,2.456077,1.663483,6.587941,0.575131,6.530379,-0.020641,0.009183,-0.023858,0.236745,-2.535497,1.855638,-1.94035,2.545165,1.848691,1.94035,-0.076968,0.011934,-0.072864,-0.051296,0.012,-0.051773,-0.124293,0.009554,-0.123497,-0.075242,0.008735,-0.073336,-0.050036,0.004887,-0.048003,0.003537,180.435669,7.039802,60.078569,13.36704,6.231734,4.410871,3.741747,0.130171,0.087171,0.016229,0.016094,-0.012632,-0.032634,-0.042879,-0.059957,-0.115398,-0.099726,-0.08014,0.6567,-0.449096,0.313817,-0.182452,-0.234719,-0.22316,-0.157685,-0.028477,0.110915,0.134623,0.104735,0.040429,0.010872,-0.012761
